Name,Type,Country,Description,Supporting_Text
"Western Hemisphere","Region","None","Geographic scope of the 1942 Pan American Convention on Nature Protection and Wildlife Preservation.","Pan American Convention on Nature Protection and Wildlife Preservation in the Western Hemisphere"
"Seattle","City","None","Venue of the First World Conference on National Parks in 1962 where the first UN List of protected areas was presented.","presented at the Seattle First World Conference on National Parks in 1962"
"New Delhi","City","India","Location of the IUCN General Assembly in 1969 that defined the term “national park”. The city where the 1969 definition of national park was agreed, referenced in the IUCN report on protected area cat...","The committee incorporated the agreed 1969 New Delhi definition of national park, but recognised that this was only one approach among many to protected areas conservation."
"United Nations","Institution","None","International organization whose Economic and Social Council (ECOSOC) and General Assembly adopted resolutions influencing protected‑area policy. Publisher of the United Nations List of Protected Area...","A 1959 resolution of the 27th session of the United Nations Economic and Social Council (ECOSOC) recognised that "national parks and equivalent reserves are important factors in the wise use of natural resources"."
"IUCN","Institution","None","International Union for Conservation of Nature, co‑author of the protected‑area categorisation system and related publications. International Union for Conservation of Nature, the leading network of v...","This has been led by the IUCN network - or commission - of volunteer experts on protected areas."
"International Commission on National Parks","Institution","None","Commission established in 1960 under Hal Coolidge, later becoming the Commission on National Parks and Protected Areas of IUCN (CNPPA).","The International Commission on National Parks was established in 1960 under the leadership of Hal Coolidge."
"World Commission on Protected Areas (WCPA)","Institution","None","Successor body to the IUCN Commission on National Parks and Protected Areas, renamed in 1996.","since 1996 it has been the World Commission on Protected Areas (WCPA)."
"Perth","City","Australia","Venue of the CNPPA meeting on 27 November 1990 where the task‑force report was adopted.","The report was adopted by CNPPA at its meeting in Perth (27 November, 1990) and tabled for information at the IUCN General Assembly a day later."
"Caracas","City","Venezuela","City where the Congress was held that prompted the introduction of Category VI, reflecting concerns of developing‑country participants. Host city of the three‑day workshop at the Fourth World Congress...","A three-day workshop took place at the Fourth World Congress on National Parks and Protected Areas ... in Caracas, Venezuela."
"Buenos Aires","City","Argentina","Location of the 1994 IUCN General Assembly that approved the new Protected Area Management Categories system.","Thus in 1994, ten years after the review of the 1978 system had begun, the IUCN General Assembly, meeting in Buenos Aires, approved the new system."
"Finland","Country","None","Country where a national‑level workshop was held to explore the use of the 1994 Guidelines.","Finland"
"China","Country","None","Country where a national‑level workshop was held to explore the use of the 1994 Guidelines.","China"
"Amman","City","Jordan","Host city of the IUCN World Conservation Congress where recommendation 2.82 was adopted.","adopted by the IUCN World Conservation Congress in Amman (2000)"
"Kuala Lumpur","City","Malaysia","Host city of the 7th Conference of the Parties to the Convention on Biological Diversity (CBD/CoP7) where the Programme of Work on Protected Areas was adopted. Host city of the 7th Conference of the P...","at the 7th Conference of the parties to the CBD in Kuala Lumpur (February 2004)"
"WCPA","Institution","None","World Commission on Protected Areas, developer of the 1998 position statement on mining and protected areas.","A position statement on mining and protected areas, developed by WCPA 1998"
"IUCN/WCMC","Institution","None","IUCN World Conservation Monitoring Centre, co‑publisher of the United Nations List of Protected Areas.","IUCN/WCMC, 1998 and Chape et al., 2003"
"Cardiff University","Institution","None","Academic institution co‑authoring the IUCN/Cardiff University Best Practice Protected Area Guidelines Series.","IUCN/Cardiff University Best Practice Protected Area Guidelines Series"
"Convention on Biological Diversity","Institution","None","International treaty whose 7th Conference of the Parties endorsed the protected‑area categorisation system.","Endorsement of the system by the Convention on Biological Diversity: at the 7th Conference of the parties to the CBD in Kuala Lumpur (February 2004)"
"Brazil","Country","None","One of the major states whose protected‑area legislation has been strongly influenced by the IUCN categories.","including several major States, such as Australia and Brazil."
"Argentina","Country","None","Country whose national legislation and policy have incorporated IUCN protected‑area categories.","Argentina (Law of National Parks and Reserves and Natural Monuments (National Law No. 22.351 1980);"
"Belize","Country","None","Country whose national legislation reflects the IUCN protected‑area categories.","Belize (National Parks Systems Act 1981);"
"Cambodia","Country","None","Country whose national legislation (1993 regulations) reflects the IUCN protected‑area categories; also cited for later environmental law.","Cambodia (Regulations on the Creation and Designation of Protected Areas 1993);"
"Guatemala","Country","None","Country whose national legislation reflects the IUCN protected‑area categories.","Guatemala (Law for the Protection and Improvement of the Environment 1986, Law of Protected Areas 1989 and Regulation to the Protected Area Law 1990);"
"Philippines","Country","None","Country whose national legislation reflects the IUCN protected‑area categories.","Philippines (National Integrated Protected Area Systems Act 1992);"
"Spain","Country","None","Country whose national legislation reflects the IUCN protected‑area categories and whose policy also uses the categories.","Spain (Conservation of Natural Areas and Wild Flora and Fauna Act 1989);"
"Turkey","Country","None","Country whose national legislation reflects the IUCN protected‑area categories.","Turkey (National Park Act 1983)."
"Bulgaria","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Bulgaria (Protected Areas Law 1998);"
"Cuba","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Cuba (Decree Law 201 National System of Protected Areas 1999);"
"Georgia","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 1 influence – explicitly mentions IUCN).","Georgia (Law on the System of Protected Territories 1996);"
"Hungary","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Hungary (Act No. LIII. of 1996 on Nature Conservation in Hungary 1996);"
"Kuwait","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Kuwait (Protected Area Law 1999);"
"Mexico","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Mexico (General Ecology Law 1996);"
"Niger","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Niger (Fixant le régime de la chasse et de la protection de la faune 1998 and Portant loi-cadre relative a la protection de l'environnement 1998);"
"Slovenia","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Slovenia (Nature Conservation Law 1999);"
"Uruguay","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Uruguay (Draft National System of Protected Areas (Law No. 17234) 2000);"
"Vietnam","Country","None","Country whose national legislation incorporates IUCN protected‑area categories (Level 2 influence).","Vietnam (Regulation of Special Use Forests, Protection Forests and Production Forests, which are Natural Forests (Decision No 08/2001/QD‑TTg of January 11 2001)."
"Ecuador","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Ecuador, ..."
"Guinea Bissau","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Guinea Bissau, ..."
"Russia","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Russia, ..."
"Saint Lucia","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Saint Lucia, ..."
"Saudi Arabia","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Saudi Arabia, ..."
"Ukraine","Country","None","Country whose protected‑area policy uses IUCN categories (Level 1/2) but not yet incorporated into legislation.","The countries found to have protected area policy that has used the IUCN categories (Level 1 and Level 2) include ... Ukraine."
"Arctic","Region","None","Region referenced in the Conservation of Arctic Flora and Fauna (CAFF) Circumpolar Protected Areas Network (CPAN) Strategy and Action Plan 1996, which explicitly mentions IUCN categories.","The Conservation of Arctic Flora and Fauna (CAFF) Circumpolar Protected Areas Network (CPAN) Strategy and Action Plan 1996 specifically mentions the IUCN categories (Level 1)"
"World Conservation Union (IUCN)","Institution","None","International union that, through its Environmental Law Centre, coordinated the research on legal and policy frameworks for protected areas.","As part of the Speaking a Common Language project, the World Conservation Union's (IUCN) Environmental Law Centre (ELC) was asked to research legal and policy frameworks for protected areas..."
"Environmental Law Centre (ELC)","Institution","None","IUCN's centre that conducted the review of legislation and policy frameworks for protected areas.","As part of the Speaking a Common Language project, the World Conservation Union's (IUCN) Environmental Law Centre (ELC) was asked to research legal and policy frameworks for protected areas..."
"Intergovernmental Forum on Forests","Institution","None","International forum mentioned as one of the global programmes that have integrated IUCN protected‑area categories.","Examples include the Intergovernmental Forum on Forests4 and Biosphere Reserves and the IUCN System of Protected Area Management Categories(Bridgewater et al. 1996)."
"Convention on Biological Diversity (CBD)","Institution","None","International convention that adopted a Programme of Work on Protected Areas endorsing the IUCN categories.","But early in 2004, the Convention on Biological Diversity (CBD) adopted a Programme of Work on Protected Areas, which endorses the categories system and supports the Speaking a Common Language project"
"CBD Programme of Work on Protected Areas","Institution","None","Programmatic instrument of the CBD that promotes the IUCN protected‑area categories.","But early in 2004, the Convention on Biological Diversity (CBD) adopted a Programme of Work on Protected Areas, which endorses the categories system and supports the Speaking a Common Language project"
"World Database for Protected Areas","Institution","None","Database used to select countries whose protected areas were included in the statistical review.","Only those countries with protected areas listed on the World Database for Protected Areas were included in the statistics"
"Durban","City","South Africa","Venue of the Vth World Parks Congress that provided advice incorporated into the CBD/CoP7 decision on protected‑area categories.","following advice from the Vth World Parks Congress in Durban (September 2003)"
"Bonn","City","Germany","Location of the IUCN Environmental Law Centre, cited as the source of personal communication regarding the African Convention on the Conservation of Nature and Natural Resources.","IUCN Environmental Law Centre, Bonn"
