Name,Type,Country,Description,Supporting_Text
"Madrid","City","Spain","Capital city where the 1994 World Bank anniversary celebrations were held. City where World Bank anniversary celebrations took place.","World Bank anniversary celebrations take place in Madrid, Spain"
"Spain","Country","None","Country of the Madrid celebrations. Country that hosted the 1994 World Bank anniversary celebrations in its capital, Madrid.","World Bank anniversary celebrations take place in Madrid, Spain"
"Newbury","City","United Kingdom","Site of the Newbury bypass protest in 1995. Town where anti‑road protests took place in 1995.","Newbury bypass in Berkshire, England"
"Berkshire","Region","United Kingdom","County containing Newbury.","Berkshire, England"
"England","Region","United Kingdom","A 2010 survey of public attitudes in England showed that a majority still believed climate change was occurring and were prepared to take action. Region within the UK mentioned together with Berkshire...","Berkshire, England"
"Birmingham","City","United Kingdom","City hosting the G8 summit in 1998. City that hosted the twenty‑fourth G8 summit in 1998, coinciding with the Global Street Party.","G8 summit in Birmingham"
"Seattle","City","United States","City that was the focal point of the 1989 WTO protests and the 1999 WTO negotiations protests. City where WTO protests took place in 1999.","Protests take place at the Seattle World Trade Organization negotiations"
"Genoa","City","Italy","City hosting the 2001 G8 summit. Italian city where the 2001 G8 summit protests erupted, resulting in a fatal shooting and police violence.","G8 summit in Genoa (Italy)"
"Johannesburg","City","South Africa","City where the Johannesburg Declaration on Sustainable Development was adopted as part of the Summit outcome. Host city of the 2002 UN World Summit on Sustainable Development. Host city of the World S...","held in Johannesburg, South Africa"
"South Africa","Country","None","Barclays Bank withdrew from South Africa due to international opposition to apartheid, illustrating consumer‑driven boycotts. Country of the Johannesburg summit. Host country for COP 17, scheduled to ...","held in Johannesburg, South Africa"
"UK Commission on Sustainable Development","Institution","United Kingdom","Commission established in 2000 to advise on sustainable development.","UK Commission on Sustainable Development is established"
"Denmark","Country","None","Host country for COP 15 climate change talks in Copenhagen. Host country for COP 15, held in its capital Copenhagen.","COP 15 climate change talks held in Copenhagen (Denmark)"
"Copenhagen","City","Denmark","Capital city where COP 15 was convened in December 2009. Venue of the 2009 COP 15 climate change talks.","COP 15 climate change talks held in Copenhagen (Denmark)"
"Mexico","Country","Mexico","Host country for COP 16 UN climate talks in Cancun. Host country for COP 16, which took place in its city Cancun. One of the countries that backed the World Bank's 2010 plan for natural‑wealth account...","backed by India, Mexico and a number of other countries"
"Cancun","City","Mexico","Coastal city that hosted COP 16 in December 2010. Venue of the 2010 COP 16 UN climate talks.","COP 16 UN climate talks take place in Cancun Mexico"
"Gulf of Mexico","Region","None","Body of water where the Deepwater Horizon oil spill occurred, cited as a factor delaying US climate legislation. Site of the 2010 Deepwater Horizon oil spill, illustrating the real‑world economic impa...","BP Deepwater Horizon oil spill in the Gulf of Mexico"
"Japan","Country","None","Listed as a major power base that can act unilaterally in climate negotiations. Location threatened by an earthquake and tsunami affecting nuclear power plants in 2011.","An earthquake and tsunami threaten the operation of nuclear power plants in Japan"
"USA","Country","None","Abbreviation used for the United States in describing Cold‑War alliances. Cited as a historic major emitter of CO₂ and as a nation concerned about the economic costs of climate commitments, including ...","communities across the USA participated in the first Earth Day"
"University of East Anglia","Institution","United Kingdom","British university that hosts the Climatic Research Unit (CRU), whose hacked emails sparked a major climate‑science controversy. Investigated the implications of the 'climategate' email scandal in 200...","University of East Anglia deals with the implications of 'climategate' email scandal"
"Intergovernmental Panel on Climate Change (IPCC)","Institution","None","Published its fourth assessment report in 2007 and its fifth assessment report in 2014.","IPCC publishes its fourth assessment report on climate change"
"UK","Country","None","One of the two primary countries where early powerful environmental campaign groups were formed and where many case studies in the book are drawn from. UK newspapers and magazines dramatically increas...","Many of the oldest and most powerful campaign groups in the environmental movement were first formed or gained popular support in the USA and UK."
"Britain","Country","None","Country whose leading businesses responded to a resurging green trend in 2007, exemplified by Tesco’s carbon‑footprint labelling initiative. Location of the first major oil spill described in the text...","The first major oil spill in Britain occurred when the super tanker Torrey Canyon struck a reef between the UK mainland and the Isles of Scilly in March 1967."
"Isles of Scilly","Region","UK","Island group off the UK mainland where the Torrey Canyon oil spill struck a reef.","The first major oil spill in Britain occurred when the super tanker Torrey Canyon struck a reef between the UK mainland and the Isles of Scilly in March 1967."
"UK mainland","Region","UK","Reference point for the location of the Torrey Canyon oil spill.","The first major oil spill in Britain occurred when the super tanker Torrey Canyon struck a reef between the UK mainland and the Isles of Scilly in March 1967."
"Cornish coast","Region","UK","Coastal area of Cornwall affected by the oil slick from the Torrey Canyon spill.","The resulting oil slick covered 120 miles of Cornish coast, killing tens of thousands of birds."
"California","Region","USA","S. U. state that proposed a similar bottle deposit bill in 1974, which KAB opposed. state where the Fisheries and Game Department is based and where Clear Lake is located. state whose coast near Santa...","Two years later, an explosion on the Union Oil Company oil platform, six miles off the coast of Santa Barbara in California, resulted in the release of hundreds of thousands of gallons of crude oil."
"New York Times","Institution","United States","Cited as having predicted the lasting permanence of environmentalism.","All this has helped give environmentalism a permanence that has transcended the decades, much as the New York Times predicted."
"Europe","Region","None","Continent mentioned as a locus of student activism and emerging environmental movements. Continent referenced regarding historical European attitudes toward nature and the world as a mystery created b...","Environmental campaigning can be traced back to the late nineteenth century, when Europe and North America experienced a growth in social movements."
"North America","Region","None","Continent mentioned as a locus of student activism and emerging environmental movements. Mentioned alongside Europe as a region where early environmental campaigning emerged in the late nineteenth cen...","Environmental campaigning can be traced back to the late nineteenth century, when Europe and North America experienced a growth in social movements."
"Lake District","Region","United Kingdom","Area where the National Trust bought early properties to protect natural beauty.","In the UK, the National Trust (est. 1895) purchased many of its early properties and land in the Lake District shortly after Thirlmere reservoir was built to supply water to Manchester."
"Thirlmere reservoir","Other","United Kingdom","Reservoir built to supply water to Manchester, prompting early conservation actions.","Thirlmere reservoir was built to supply water to Manchester."
"Manchester","City","United Kingdom","City that received water from the Thirlmere reservoir, mentioned in the context of early conservation efforts. Industrial city where Robert Angus Smith monitored sulphuric acid in rain.","Thirlmere reservoir was built to supply water to Manchester."
"San Francisco","City","United States","City in California located south of Clear Lake, mentioned as a geographic reference point. Target of a Sierra Club campaign to stop a dam in the nearby Hetch Hetchy Valley.","the Sierra Club (est. 1892) waged a long campaign against the city of San Francisco to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"Hetch Hetchy Valley","Other","United States","Valley in Yosemite National Park where a dam proposal sparked Sierra Club opposition.","to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"Yosemite National Park","Other","United States","Protected area containing Hetch Hetchy Valley, central to early Sierra Club campaigning.","to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"National Trust","Institution","United Kingdom","Early UK conservation organisation that purchased land in the Lake District. The largest environmental group in the UK, offering access to nature reserves and historic landscapes to members.","In the UK, the National Trust (est. 1895) purchased many of its early properties and land in the Lake District shortly after Thirlmere reservoir was built to supply water to Manchester."
"Society for the Promotion of Nature Reserves","Institution","United Kingdom","Founded in 1912, later became the Wildlife Trust, and compiled lists of areas deserving protection.","Many early environmental groups followed the National Trust's approach to achieving protected designation for specific areas. In the UK, the Society for the Promotion of Nature Reserves (est. 1912), later to become the Wildlife Trust, compiled a list of areas that deserved protection and raised mone..."
"Wildlife Trust","Institution","United Kingdom","Successor to the Society for the Promotion of Nature Reserves, involved in land protection.","later to become the Wildlife Trust, compiled a list of areas that deserved protection and raised money to purchase land."
"Royal Society for the Protection of Birds (RSPB)","Institution","United Kingdom","Founded in 1889; began managing nature reserves from 1930 onward.","The Royal Society for the Protection of Birds (RSPB) (est. 1889) did not purchase its first nature reserves until 1930, but by 1941 it was managing fifteen reserves."
"Council for the Preservation of Rural England (CPRE)","Institution","United Kingdom","Established in 1926; focused on planning system and early restrictions on town and country development.","In the 1930s and 1940s, the Council for the Preservation of Rural England (CPRE) (est. 1926; now the Campaign to Protect Rural England) focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"Campaign to Protect Rural England","Institution","United Kingdom","Current name of the former CPRE, continuing work on rural preservation and planning.","now the Campaign to Protect Rural England) focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"Sierra Club","Institution","United States","Founded in 1892; led a campaign against a dam in Hetch Hetchy Valley, using letter‑writing and pamphlets.","In the USA, the Sierra Club (est. 1892) waged a long campaign against the city of San Francisco to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"East Berlin","City","Germany","Eastern sector of Berlin during the Cold War, separated by a concrete wall.","construction of a concrete wall separating East Berlin from West Berlin"
"West Berlin","City","Germany","Western sector of Berlin during the Cold War, separated by a concrete wall.","construction of a concrete wall separating East Berlin from West Berlin"
"Switzerland","Country","None","Country where the World Wildlife Fund was founded in 1961.","World Wildlife Fund in Switzerland (WWF) (est. 1961; now the World Wide Fund for Nature)"
"Maryland","Region","USA","U.S. state where the Calvert Cliffs nuclear plant’s environmental impact was re‑examined.","Calvert Cliffs, Maryland"
"Calvert Cliffs","Other","USA","Specific site in Maryland where the Atomic Energy Commission was urged to reassess environmental impacts.","Calvert Cliffs, Maryland"
"Finland","Country","None","Country whose Green League secured parliamentary recognition in 1991 and entered a national government in 1995. European country that received a climate‑law proposal inspired by the UK Big Ask campaig...","Elsewhere in Europe, the Finnish Green League (Vihreä liitto) secured parliamentary recognition in 1991, and became the first green party in Western Europe to enter a national government in 1995."
"Czech Republic","Country","None","One of the post‑communist Central and Eastern European states where environmental movements developed in the 1990s.","In Central and Eastern Europe during the 1990s, communist‑ruled countries such as the Czech Republic, Hungary and Poland also saw the development of environmental movements."
"Hungary","Country","None","One of the post‑communist Central and Eastern European states where environmental movements developed in the 1990s.","In Central and Eastern Europe during the 1990s, communist‑ruled countries such as the Czech Republic, Hungary and Poland also saw the development of environmental movements."
"Poland","Country","None","Host country for COP 14, where the conference took place in Poznan. One of the post‑communist Central and Eastern European states where environmental movements developed in the 1990s.","In Central and Eastern Europe during the 1990s, communist‑ruled countries such as the Czech Republic, Hungary and Poland also saw the development of environmental movements."
"Soviet Union","Country","None","Cold‑War bloc that boycotted the 1949 UNSCCUR conference. Country (at the time) where the 1986 Chernobyl nuclear power plant disaster occurred. Former super‑state whose leadership under Mikhail Gorbac...","During the Soviet leadership of Mikhail Gorbachev (b. 1931) (1988-91), environmental activism in communist countries was seen as a safe way of criticising the Soviet regime."
"Central and Eastern Europe","Region","None","Geographic region where, during the 1990s, environmental movements emerged in former communist states.","In Central and Eastern Europe during the 1990s, communist‑ruled countries such as the Czech Republic, Hungary and Poland also saw the development of environmental movements."
"West Germany","Country","None","Country of former Chancellor Willy Brandt, who chaired the Brandt Commission on North‑South development and environmental issues. The western part of Germany during the Cold War, referenced as the bas...","In 1980s West Germany, the anti-nuclear movement was almost identical to the environmental movement, and the Green Party acted as its parliamentary arm."
"East Germany","Country","None","State whose lack of international recognition led to the Soviet bloc’s refusal to attend the conference. The former socialist German state whose alliance of parties merged with the West German Green P...","which grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"Germany","Country","None","Country noted for considerable progress in glass and paper recycling during the 1980s. Large sulphur dioxide emitter that was prompted into action by public reaction to forest loss. The nation where t...","The most successful European environment-focused political party is Bündnis 90/Die Grünen, which grew out of a partnership of the West German Green Party..."
"Brighton Pavilion","Other","United Kingdom","British parliamentary constituency where Caroline Lucas became the first Green Party MP in 2010.","it took until 2010 for Caroline Lucas (b. 1960) to be elected as Britain's first Green Party Member of Parliament, for Brighton Pavilion."
"European Parliament","Institution","Belgium","The legislative body of the European Union where green parties now have a strong presence. Venue of Prince Charles’ first speech on climate leadership in 2008.","his first speech to the European Parliament on 14 February 2008"
"East Africa","Region","None","Region visited by Sir Julian Huxley on a wildlife conservation trip.","In 1960, British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"Africa","Region","None","One of the continents where WWF‑donated funds were allocated to projects.","In its first three years, US$1.9 million was donated to projects across Africa, Europe and India."
"Amchitka Island","Other","United States","Alaska island where US nuclear bomb testing was conducted and which later became a bird sanctuary.","It can trace its beginnings to a group of peace activists who wanted to stop US nuclear bomb testing at Amchitka Island off the west coast of Alaska."
"Vancouver","City","Canada","Canadian city from which the early Greenpeace activists chartered a ship to protest nuclear tests. City where billboard adverts promoting ecology appeared in 1969.","the group called themselves the Don't Make a Wave Committee (est. 1970), and decided the best way they could stop the nuclear tests was to charter a ship to sail from Vancouver into the test zone."
"Moruroa Atoll","Other","France","French Polynesian atoll used for French nuclear testing, which Greenpeace opposed.","the French Intelligence Agency to prevent Greenpeace from protesting against French nuclear testing in Moruroa Atoll."
"Greenham Common","Other","United Kingdom","Site of women’s peace camps that inspired tactics used by the UK anti‑roads movement.","including the women's peace camps at the Royal Air Force Base at Greenham Common."
"Love Canal","Other","United States","Neighbourhood in New York State where a 1978 toxic‑waste discovery sparked public concern.","the 1978 discovery of toxic waste in the Love Canal neighbourhood in New York State"
"Warren County","Other","United States","County in North Carolina that contains the community of Afton, mentioned in the context of the 1982 hazardous‑waste protest.","the beginning of the movement is widely associated with a 1982 protest ... in Warren County in North Carolina"
"Glasgow","City","United Kingdom","Location of the M17 road protest (1993‑1995) known as the ‘Pollock Free State’.","Other road protests included those on the M17 through Glasgow from 1993 to 1995 ('the Pollock Free State')"
"Department for Transport","Institution","United Kingdom","UK government department taken to the UK High Court by environmental groups during the Twyford Down campaign.","During this campaign, FoE, Greenpeace and other environmental groups took the Department for Transport to the UK High Court, but lost."
"UK High Court","Institution","United Kingdom","Court where environmental groups challenged the Department for Transport over road‑building projects.","During this campaign, FoE, Greenpeace and other environmental groups took the Department for Transport to the UK High Court, but lost."
"British Government","Institution","United Kingdom","Government that eventually accepted the link between domestic air pollution and Scandinavian acid rain. Published the first White Paper on the environment, *This Common Inheritance* (1990). The UK gov...","A year later, the British Government published This Common Inheritance (1990), the first ever White Paper on the environment."
"World Trade Center","Other","USA","Iconic complex in New York referenced as the site of the 9/11 terrorist attacks.","The Genoa protests occurred months before the 9/11 terrorists attacks on the World Trade Center in New York..."
"United States of America","Country","United States of America","Country referenced alongside the UK as a locus of online and media debate over climate‑science issues. Country referenced as a major site of modern environmentalism and pesticide regulation. Country r...","However, in the USA most corn, soya and oilseed rape is produced from GM crops."
"Greenpeace International","Institution","None","An international environmental NGO with about 3 million members, noted for its financial independence and global campaigning.","Greenpeace International has approximately 3 million members, giving it the financial independence to be able to campaign against high-profile global corporations."
"Friends of the Earth International","Institution","None","A global environmental network that claims over 2 million members and supporters.","FoE International claims over 2 million members and supporters,"
"Natural Resources Defense Council","Institution","None","A US‑based environmental organization highlighted for its 1.3 million members and online activists.","the NRDC illustrates its strength by referring to its 1.3 million members and online activists."
"Royal Society for the Protection of Birds","Institution","United Kingdom","A major UK conservation organization mentioned alongside the National Trust.","In the UK, the National Trust is the largest environmental group, followed by the RSPB."
"National Wildlife Federation","Institution","United States of America","One of the largest US environmental groups, noted for its sizable membership.","In the USA, the National Wildlife Federation has one of the largest memberships."
"Indonesia","Country","None","Host country for COP 13, where the conference was held in Bali. Indonesia is mentioned in relation to large loans and credit guarantees to the palm‑oil sector that were criticised by Friends of the Ea...","Two years after the WWF deal, FoE accused HSBC of financing forest destruction and social conflict, and stated that over the previous ten years it had helped arrange over US$1.6 billion in loans and credit guarantees to the palm oil sector in Indonesia."
"Bolivia","Country","None","Bolivia is cited as the nation whose government co‑founded the Noel Kempff Climate Action Project, a protected forest area. Country referenced as the location of the town of Cochabamba where water‑pri...","In 2009, Greenpeace published the findings of its investigation of the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Yangtze River","Other","None","One of the river basins where WWF secured £12.7 million for conservation projects.","This secured the charity £12.7 million for conservation projects along the Yangtze, Rio Grande and Amazon rivers."
"Rio Grande River","Other","None","One of the river basins where WWF secured £12.7 million for conservation projects.","This secured the charity £12.7 million for conservation projects along the Yangtze, Rio Grande and Amazon rivers."
"Amazon River","Other","None","One of the river basins where WWF secured £12.7 million for conservation projects.","This secured the charity £12.7 million for conservation projects along the Yangtze, Rio Grande and Amazon rivers."
"Noel Kempff Protected Forest","Other","Bolivia","A protected forest area established in 1997 as part of a climate‑action carbon project, later criticised by Greenpeace.","In 2009, Greenpeace published the findings of its investigation of the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Heathrow Airport","Institution","United Kingdom","Site of a proposed third runway that became a focal point of UK environmental opposition.","third runway at London Heathrow airport"
"Stansted Airport","Institution","United Kingdom","One of the airports for which new runway plans were ruled out by the UK government in 2010.","ruled out new runways at Stansted and Gatwick airports"
"Gatwick Airport","Institution","United Kingdom","One of the airports for which new runway plans were ruled out by the UK government in 2010.","ruled out new runways at Stansted and Gatwick airports"
"Manchester Airport","Institution","United Kingdom","Target of the 1997 Coalition Against Runway 2 (CAR2) campaign to stop a second runway.","second runway at Manchester's International Airport"
"Scotland","Region","United Kingdom","One of the European sub‑national entities where climate‑law proposals were submitted following the UK success. Region identified as the origin of Alexander King, a Scottish scientist involved in the 1...","similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland"
"Austria","Country","None","European country that received a climate‑law proposal inspired by the UK Big Ask campaign.","similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland"
"Belgium","Country","None","European country that received a climate‑law proposal inspired by the UK Big Ask campaign.","similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland"
"Malta","Country","None","European country that received a climate‑law proposal inspired by the UK Big Ask campaign.","similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland"
"Ireland","Country","None","European country that received a climate‑law proposal inspired by the UK Big Ask campaign. Public felt well informed about climate change and were willing to take personal action.","similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland"
"Lake Success","Other","United States","Location of the 1949 UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR).","held at Lake Success in New York."
"China","Country","","Described as having overtaken the USA as the single biggest CO₂ emitter in the past decade, still in economic transition. Emerging world power influencing the future direction of global environmental ...","As Brazil, China and India become world powers"
"Chile","Country","None","Lead nation among developing countries that secured a UN Declaration on Permanent Sovereignty over Natural Resources in 1962.","led by Chile, secured a UN Declaration on Permanent Sovereignty over Natural Resources."
"UN Economic and Social Council","Institution","None","UN body that acted on President Truman’s 1948 proposal, leading to the 1949 UNSCCUR conference.","This proposal was acted on by the UN Economic and Social Council, and in 1949 the UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR) was held at Lake Success in New York."
"UNESCO","Institution","None","United Nations Educational, Scientific and Cultural Organization that organized the 1968 Biosphere Conference.","This UNESCO-organised conference examined the scientific basis for rational use and conservation of the resources of the biosphere"
"UN General Assembly","Institution","None","UN body that adopted resolution 2398 (XXIII) convening the UN Conference on the Human Environment. UN body that passed Resolution 38/161 establishing the World Commission on Environment and Developmen...","At its twenty-third session in December 1968, the UN General Assembly supported the Swedish proposal"
"Soviet bloc","Region","None","Political bloc that largely refused to attend the UN Conference on the Human Environment.","the refusal of the Soviet bloc (except Romania) to attend the conference"
"Romania","Country","None","Citizens felt they were not well informed about the causes and effects of climate change. The only Soviet‑bloc country that did not refuse to attend the conference.","the refusal of the Soviet bloc (except Romania) to attend the conference"
"Founex","Other","Switzerland","Place after which the 1971 report on development and environment is named.","The outcome of these discussions was The Founex Report on Development and Environment (1971)"
"UN Environment Programme (UNEP)","Institution","None","International agency established as a result of the UN Conference on the Human Environment.","UNCHE also led to the establishment of the UN Environment Programme (UNEP)"
"Nairobi","City","Kenya","Host city of the UN Environment Programme secretariat, marking the first UN agency headquarters located in a developing country.","The secretariat of the new UN Environment Programme was located in Nairobi, Kenya - it was the first and only UN agency to have its headquarters in a developing country."
"Kenya","Country","None","Host country for UNEP’s headquarters, signalling to developing nations that they have a voice in the global environmental agenda.","UNEP's location in Kenya sent a message to developing nations that they had a say in the global environmental agenda."
"United Nations (UN)","Institution","None","Forum for the expression of environmental, economic and social concerns, though routinely marginalised by the USA and other powers.","The UN was routinely marginalised by the USA and other powers during this period, but remained a forum for the expression of environmental, economic and social concerns."
