Name,Type,Role,Country,Description,Supporting_Text
"Tim Jackson","Individual","Published the book *Prosperity Without Growth* in 2009, influencing debates on decoupling wellbeing from GDP growth.","None","Economist and author known for his work on sustainable prosperity.","Tim Jackson publishes Prosperity Without Growth"
"University of East Anglia","Organization","Addressed the implications of the ""climategate"" email scandal in 2009, contributing to public discourse on climate science credibility.","United Kingdom","A public research university in England, home to the Climatic Research Unit.","University of East Anglia deals with the implications of 'climategate' email scandal"
"Barack Obama","Individual","Introduced the Climate Change Bill in 2010, signaling federal commitment to climate legislation.","United States","44th President of the United States (2009‑2017).","2010 US President Obama introduces the Climate Change Bill"
"BP","Organization","Was the operator of the Deepwater Horizon rig whose 2010 oil spill highlighted environmental risks of fossil fuel extraction.","United Kingdom","British multinational oil and gas company.","BP Deepwater Horizon oil spill in the Gulf of Mexico"
"Caroline Lucas","Individual","Elected in 2010 as Britain’s first Green Party Member of Parliament, giving parliamentary voice to ecological politics.","United Kingdom","British politician, member of the Green Party, and the first Green MP in the UK Parliament.","Caroline Lucas is elected as Britain's first Green Party Member of Parliament"
"Green Party (UK)","Organization","Provided the platform through which Caroline Lucas entered Parliament, advancing green policy agendas.","United Kingdom","A political party in the United Kingdom that prioritises environmental sustainability and social justice.","Caroline Lucas is elected as Britain's first Green Party Member of Parliament"
"Royal Commission on Environmental Pollution","Organization","Abolished by the UK coalition government in 2011, reflecting a shift in institutional structures for environmental governance.","United Kingdom","A UK government advisory body that examined environmental pollution issues.","UK coalition government abolishes the Royal Commission on Environmental Pollution"
"Commission on Sustainable Development","Organization","Abolished by the UK coalition government in 2011 as part of broader reforms to environmental oversight.","United Kingdom","A UK government commission focused on integrating sustainability into policy.","UK coalition government abolishes the ... Commission on Sustainable Development"
"The New York Times","Organization","Published an editorial in the late 1960s that captured the emerging environmental sentiment, helping shape public discourse.","United States","Major American newspaper known for its editorial influence.","A New York Times editorial summed up the sentiment of the time"
"Friends of the Earth (FoE)","Organization","One of the three campaign groups founded during the early wave of modern environmentalism (1969‑1972).","United States","International network of environmental NGOs founded in 1969.","the campaign groups Friends of the Earth (FoE), Greenpeace and the Natural Resources Defense Council (NRDC) were founded"
"Greenpeace","Organization","Founded during the early environmental movement (1969‑1972) and has since mobilised public action on ecological issues.","International","Global environmental NGO established in 1972, known for direct-action campaigns.","the campaign groups Friends of the Earth (FoE), Greenpeace and the Natural Resources Defense Council (NRDC) were founded"
"Natural Resources Defense Council (NRDC)","Organization","Founded in the early wave of modern environmentalism (1969‑1972) and continues to influence policy and public awareness.","United States","U.S.-based environmental advocacy organization founded in 1970.","the campaign groups Friends of the Earth (FoE), Greenpeace and the Natural Resources Defense Council (NRDC) were founded"
"Max Weber","Individual","Provided early intellectual framing that questioned the modern invention of nature enjoyment, influencing later environmental thought.","Germany","German sociologist (1864‑1920) who wrote about humanity's relationship with nature.","In 1885, German sociologist Max Weber (1864-1920) wrote: 'It would never occur to me to regard the enjoyment of nature as the invention of the modern age.'"
"Hippocrates","Individual","Early thinker who connected climate, food, and occupation to disease, laying a historical foundation for environmental health perspectives.","Greece","Ancient Greek physician (c. 460 – c. 377 BC) who linked environment to health.","Hippocrates (ca. 460 - ca. 377 BC) noted the effects of food, occupation and climate in causing disease in his book, De aëre, aquis et locis (Air, Waters and Places)."
"Rachel Carson","Individual","Catalyzed the modern environmental movement by linking pesticide misuse and atomic bomb dangers, raising public awareness of humanity’s capacity to damage nature.","United States","American marine biologist and author of *Silent Spring* (1962).","Rachel Carson's book Silent Spring (1962) was among the first to link the dangers of the atomic bomb to the misuse of pesticides, emphasising humanity's capacity to destroy nature and itself."
"Garrett Hardin","Individual","Formulated a seminal concept that highlighted collective overuse of shared resources, shaping policy debates on environmental governance.","United States","American ecologist and author of *The Tragedy of the Commons* (1968).","'The Tragedy of the Commons' (Garrett Hardin, 1968) raised wider anxieties about the future of the planet."
"E. F. Schumacher","Individual","Advocated for sustainable, human‑scale economic alternatives, influencing green economic thinking within environmental movements.","Germany","German-born economist and author of *Small is Beautiful* (1973).","Small is Beautiful (E. F. Schumacher, 1973) sketched out green alternatives."
"Union Oil Company","Organization","Source of a major oil spill that drew media attention and public outrage, thereby spurring environmental activism and policy responses.","United States","American oil company operating offshore platforms in California.","an explosion on the Union Oil Company oil platform, six miles off the coast of Santa Barbara in California, resulted in the release of hundreds of thousands of gallons of crude oil."
"The Ecologist","Organization","Published influential articles such as 'A Blueprint for Survival' (1972) that helped shape public discourse and mobilize environmental campaigns.","United Kingdom","British environmental magazine and publishing organization.","'A Blueprint for Survival' (The Ecologist, 1972) sketched out green alternatives."
"National Trust","Organization","Acquired and protected land (e.g., in the Lake District) as an early environmental campaign group, setting a model for later conservation efforts.","United Kingdom","A historic UK conservation charity founded in 1895 that purchased early properties and land to protect natural landscapes.","In the UK, the National Trust (est. 1895) purchased many of its early properties and land in the Lake District shortly after Thirlmere reservoir was built to supply water to Manchester."
"Sierra Club","Organization","Waged a long campaign against the construction of a dam in Hetch Hetchy Valley, using letter‑writing and pamphlets to influence policymakers.","USA","One of the United States' oldest environmental organizations, founded in 1892.","In the USA, the Sierra Club (est. 1892) waged a long campaign against the city of San Francisco to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"John Muir","Individual","Provided inspirational photographs and writings that were used in Sierra Club pamphlets to promote the beauty of Yosemite and rally public support.","USA","Naturalist, writer, and founder of the Sierra Club (1838‑1914).","The pamphlets promoted the romance and beauty of Yosemite, and contained photos and writing by John Muir (1838-1914), founder of the Sierra Club."
"Society for the Promotion of Nature Reserves","Organization","Compiled lists of areas deserving protection and raised funds to purchase land for conservation.","United Kingdom","A UK‑based conservation group founded in 1912 that later became the Wildlife Trust.","In the UK, the Society for the Promotion of Nature Reserves (est. 1912), later to become the Wildlife Trust, compiled a list of areas that deserved protection and raised money to purchase land."
"Wildlife Trust","Organization","Continues the work of identifying and protecting valuable natural sites through land acquisition and stewardship.","United Kingdom","The successor organization to the Society for the Promotion of Nature Reserves, operating in the United Kingdom.","In the UK, the Society for the Promotion of Nature Reserves (est. 1912), later to become the Wildlife Trust, compiled a list of areas that deserved protection and raised money to purchase land."
"Royal Society for the Protection of Birds (RSPB)","Organization","Managed a growing network of nature reserves (15 by 1941) and contributed to broader habitat conservation.","United Kingdom","A UK conservation charity founded in 1889, originally focused on bird protection and later managing nature reserves.","The Royal Society for the Protection of Birds (RSPB) (est. 1889) did not purchase its first nature reserves until 1930, but by 1941 it was managing fifteen reserves."
"Council for the Preservation of Rural England (CPRE)","Organization","Focused on the planning system and secured early legislative restrictions on town and country development.","United Kingdom","A UK‑based advocacy group founded in 1926, now known as the Campaign to Protect Rural England.","In the 1930s and 1940s, the Council for the Preservation of Rural England (CPRE) (est. 1926; now the Campaign to Protect Rural England) focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"Campaign to Protect Rural England","Organization","Continues the CPRE’s work of influencing planning policy and protecting rural landscapes.","United Kingdom","The modern name of the Council for the Preservation of Rural England, a UK advocacy group.","In the 1930s and 1940s, the Council for the Preservation of Rural England (CPRE) (est. 1926; now the Campaign to Protect Rural England) focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"National Audubon Society","Organization","Early wildlife protection campaigns against hunting for bird plumage; helped launch the modern environmental movement in the United States.","USA","U.S. conservation organization founded in 1905, named after naturalist John James Audubon.","The National Audubon Society (est. 1905) took its name from John James Audubon, the author of Birds of America (1840)."
"John James Audubon","Individual","His legacy inspired the naming of the National Audubon Society, linking cultural heritage to wildlife conservation.","USA","19th‑century naturalist and painter, author of *Birds of America*.","The National Audubon Society (est. 1905) took its name from John James Audubon, the author of Birds of America (1840)."
"Royal Society for the Protection of Birds (RSPB)","Organization","Led early anti‑plume campaigns in the UK, providing a model for similar U.S. bird‑protection efforts.","United Kingdom","British bird‑conservation charity founded in the late 19th century.","The Society's first campaigns were against hunting for bird plumage, mirroring campaigns in the UK against plumes for women's hats, led by the RSPB."
"Izaak Walton League","Organization","One of the early 20th‑century environmental organisations that later contributed to the growth of the environmental movement.","USA","American conservation organization established in 1922, focused on protecting natural resources.","Other environmental organisations active today, but established in the first half of the twentieth century, include the Izaak Walton League (est. 1922)..."
"The Wilderness Society","Organization","Early advocate for wilderness preservation, part of the network of organisations that expanded public engagement with nature.","USA","U.S. nonprofit founded in 1935 dedicated to protecting wilderness areas.","...the Wilderness Society (est. 1935)..."
"National Wildlife Federation","Organization","Co‑filed lawsuits that forced the Atomic Energy Commission to reassess environmental impacts; active in policy advocacy.","USA","American conservation group founded in 1936, promoting wildlife protection and environmental education.","Another, from the National Wildlife Federation and the Sierra Club, forced the Atomic Energy Commission to re-examine the environmental impact of an atomic energy plant in Calvert Cliffs, Maryland."
"Defenders of Wildlife","Organization","Part of the early cohort of mid‑20th‑century environmental organisations that later joined broader campaigns.","USA","U.S. nonprofit founded in 1947, focused on protecting native animals and their habitats.","...Defenders of Wildlife (est. 1947)."
"Sierra Club","Organization","Early membership growth; co‑filed lawsuits challenging large‑scale projects and influencing environmental regulation.","USA","American environmental organization founded in 1892, known for grassroots activism and conservation advocacy.","By 1950 the Sierra Club's membership had grown to just 7000... Another, from the National Wildlife Federation and the Sierra Club, forced the Atomic Energy Commission to re-examine the environmental impact of an atomic energy plant in Calvert Cliffs, Maryland."
"John F. Kennedy","Individual","His election is cited as a historical marker within the broader sociopolitical context that fostered the rise of the modern environmental movement.","USA","35th President of the United States (1961‑1963).","selection of John F. Kennedy as the thirty-fifth US President"
"Martin Luther King","Individual","His assassination is referenced as part of the turbulent 1960s backdrop that spurred widespread activism, including environmental activism.","USA","American civil‑rights leader assassinated in 1968.","the assassination of Martin Luther King"
"Students for a Democratic Society (SDS)","Organization","Recruited members across university campuses, mobilising youth activism that intersected with emerging environmental concerns.","USA","U.S. student activist organization founded in 1960, central to the New Left movement.","the American Students for a Democratic Society recruited members across university campuses."
"World Wildlife Fund (WWF)","Organization","One of the major global environmental organisations established during the 1960s, shaping international conservation agendas.","Switzerland","International conservation organization founded in Switzerland in 1961, now known as the World Wide Fund for Nature.","These included the World Wildlife Fund in Switzerland (WWF) (est. 1961; now the World Wide Fund for Nature)"
"Environmental Defense Fund (EDF)","Organization","Co‑filed a lawsuit that stalled construction of a $2.5 billion Alaskan oil pipeline; active in policy and legal strategies.","USA","U.S. nonprofit environmental advocacy group founded in 1967.","A 1971 Associated Press article published as 'Revolt of the Bird Watchers' documents a lawsuit by FoE and the EDF stalling construction of a US$2.5 billion Alaskan oil pipeline."
"Friends of the Earth (FoE)","Organization","Co‑filed the 1971 lawsuit against the Alaskan oil pipeline; part of the wave of new environmental organisations in the 1960s‑70s.","USA","International network of environmental NGOs founded in 1969.","A 1971 Associated Press article published as 'Revolt of the Bird Watchers' documents a lawsuit by FoE and the EDF stalling construction of a US$2.5 billion Alaskan oil pipeline."
"Natural Resources Defense Council (NRDC)","Organization","One of the major environmental organisations created during the 1961‑71 period, contributing to legal and policy campaigns.","USA","U.S. environmental advocacy group founded in 1970.","...NRDC (est. 1970)..."
"Greenpeace","Organization","Founded during the early 1970s surge of environmental NGOs; later became a leading global activist network.","International","International environmental organization founded in 1971, known for direct‑action campaigns.","...and Greenpeace (est. 1971)."
"Atomic Energy Commission","Government","Was compelled by lawsuits from the National Wildlife Federation and the Sierra Club to re‑examine the environmental impact of an atomic energy plant.","USA","U.S. federal agency (now part of the Department of Energy) responsible for nuclear energy regulation.","Another, from the National Wildlife Federation and the Sierra Club, forced the Atomic Energy Commission to re-examine the environmental impact of an atomic energy plant in Calvert Cliffs, Maryland."
"Environmental Defense Fund (EDF)","Organization","Led the 1971 court action that forced the federal government to consider a national DDT ban.","United States","U.S. environmental nonprofit that led legal campaigns to ban the pesticide DDT.","In 1971 the EDF, with support from the Izaak Walton League and National Audubon Society, won a court order forcing the federal government to consider a national DDT ban..."
"Izaak Walton League","Organization","Provided support to EDF in the 1971 court case that led to a national DDT ban.","United States","U.S. conservation organization that supported EDF’s DDT‑ban litigation.","In 1971 the EDF, with support from the Izaak Walton League and National Audubon Society, won a court order..."
"National Audubon Society","Organization","Supported EDF’s legal effort to compel a national DDT ban in 1971.","United States","U.S. nonprofit focused on bird conservation and broader environmental issues.","In 1971 the EDF, with support from the Izaak Walton League and National Audubon Society, won a court order..."
"Rachel Carson","Individual","Brought the dangers of aerial DDT spraying to public attention through her 1962 book *Silent Spring*.","United States","American marine biologist and author of *Silent Spring*.","In 1962, Rachel Carson brought DDT aerial spraying to widespread public attention through her bestselling book Silent Spring..."
"United States government","Government","Initially failed to act on DDT concerns, later compelled by court order to consider a national ban.","United States","Federal authorities of the United States.","The US government's failure to respond to these concerns provided the opportunity for citizens' law suits against the use of DDT."
"United States Congress","Government","Adopted the national DDT ban a year after the 1971 court order.","United States","Legislative branch of the United States federal government.","...won a court order forcing the federal government to consider a national DDT ban, which Congress adopted a year later."
"Friends of the Earth (FoE)","Organization","Took its first steps toward becoming an international network in 1971, linking representatives from Europe and the USA.","International","International environmental network originating in the United States.","In 1971, FoE took its first steps towards becoming an international network with a meeting of representatives from France, Sweden, UK and the USA."
"Friends of the Earth UK (FoE UK)","Organization","Focused on influencing national policy, launched the first campaign against non‑returnable bottles, and coordinated local group actions across the UK.","United Kingdom","British branch of the Friends of the Earth network.","From the beginning, FoE UK focused on influencing national policy through a combination of professional advocacy and local group action."
"Tom Burke","Individual","Described himself as an ‘environmental politician’ and led FoE UK during a formative period.","United Kingdom","Director of Friends of the Earth UK from 1975 to 1979.","Tom Burke, Director of FoE UK (1975-79), described himself as an 'environmental politician'."
"Les Amis de la Terre","Organization","Fielded Brice Lalonde as a candidate for the Mouvement d'Ecologie Politique in the 1981 French presidential election.","France","Friends of the Earth France, the French branch of the international network.","FoE UK's sister group in France, Les Amis del la Terre, fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique in the 1981 Presidential elections..."
"Brice Lalonde","Individual","Ran as a candidate for the Mouvement d'Ecologie Politique in the 1981 French presidential election.","France","French environmental activist and politician born in 1946.","Les Amis del la Terre, fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique in the 1981 Presidential elections..."
"Mouvement d'Ecologie Politique","Organization","Presented Brice Lalonde as its presidential candidate in 1981.","France","French green political party active in the early 1980s.","...fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique in the 1981 Presidential elections..."
"Miljöpartiet de gröna","Organization","Secured national electoral success in the 1980s, bringing environmental issues to the top of the political agenda.","Sweden","Swedish Green Party, one of the first successful green parties in Europe.","Sweden's Miljöpartiet de grõna was among the first green parties to secure national electoral success in Europe."
"Finnish Green League (Vihreä liitto)","Organization","Gained parliamentary recognition in 1991 and entered a national government in 1995, the first green party in Western Europe to do so.","Finland","Finland’s green political party.","Elsewhere in Europe, the Finnish Green League (Vihreä liitto) secured parliamentary recognition in 1991, and became the first green party in Western Europe to enter a national government in 1995."
"Mikhail Gorbachev","Individual","During his leadership, environmental activism became a relatively safe avenue for criticizing the Soviet regime.","Soviet Union","Leader of the Soviet Union from 1985 to 1991.","During the Soviet leadership of Mikhail Gorbachev (b. 1931) (1988-91), environmental activism in communist countries was seen as a safe way of criticising the Soviet regime..."
"Bündnis 90/Die Grünen","Organization","Political party that channels environmental and social‑justice demands into parliamentary action and government coalitions across Europe.","Germany","The most successful European environment‑focused political party, formed in 1993 from a merger of the West German Green Party and an East German alliance of parties.","The most successful European environment-focused political party is Bündnis 90/Die Grünen, which grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"West German Green Party","Organization","Early green political organization that provided the parliamentary arm of the anti‑nuclear and environmental movement in 1980s West Germany.","Germany","The original West German green political party founded in 1979, rooted in the student protests of the late 1960s.","The most successful European environment-focused political party is Bündnis 90/Die Grünen, which grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"Petra Kelly","Individual","Founder and early campaigner who helped shape the party’s environmental agenda and international outreach.","Germany","One of the founders of the West German Green Party (1947‑1992).","Petra Kelly (1947-92), one of its founders, was involved in political campaigning in the USA."
"Daniel Cohn‑Bendit","Individual","Prominent activist who links the 1968 student movement to contemporary green politics in Europe.","France/Germany","Born 1945, a leading green campaigner in France and Germany and former student leader of the 1968 protests.","Daniel Cohn‑Bendit (b. 1945), now a leading green campaigner in France and Germany, was a student leader involved in the 1968 attempt to overthrow the French government."
"Joschka Fischer","Individual","Key figure who moved from activist networks into high‑level government, influencing green policy from within.","Germany","Born 1948, future Foreign Minister and Vice Chancellor of Germany; early participant in radical groups of the 1960s‑70s.","Joschka Fischer (b. 1948), a future Foreign Minister and Vice Chancellor of Germany, were associated with a number of radical and revolutionary groups in the 1960s and 1970s."
"Friends of the Earth (FoE)","NGO","Organised high‑profile anti‑nuclear campaigns and co‑organised mass protests against nuclear power in the UK.","International","International environmental NGO that led campaigns against nuclear fuel reprocessing and other ecological threats.","FoE led a campaign against the reprocessing of spent nuclear fuels, claiming it would turn the UK into a nuclear dustbin for the world."
"Campaign for Nuclear Disarmament (CND)","NGO","Co‑organised a large protest marking the first anniversary of the Chernobyl disaster, mobilising public opposition to nuclear energy.","United Kingdom","UK‑based anti‑nuclear organization.","FoE and the Campaign for Nuclear Disarmament (CND) organised a protest in the UK attended by 100,000 people."
"Sara Parkin","Individual","Mobilised public discontent over nuclear power and the poll tax, helping the UK Green Party gain significant electoral support in 1989.","United Kingdom","Born 1946, co‑secretary and spokesperson for the UK Green Party.","Sara Parkin (b. 1946), co-secretary and spokesperson for the UK Green Party, was able to mobilise this discontent."
"Caroline Lucas","Individual","Breakthrough parliamentary representative for the UK Green Party, giving the movement a direct voice in national legislation.","United Kingdom","Born 1960, the first Green Party Member of Parliament in Britain, elected for Brighton Pavilion in 2010.","it took until 2010 for Caroline Lucas (b. 1960) to be elected as Britain's first Green Party Member of Parliament, for Brighton Pavilion."
"Greenpeace","NGO","Led and co‑led worldwide environmental campaigns aimed at influencing national governments and UN institutions.","International","International environmental organization known for high‑profile global campaigns.","Greenpeace, FoE and WWF were at the forefront of many of these campaigns, aimed at influencing national governments and global institutions such as the UN."
"World Wildlife Fund (WWF)","NGO","Partnered in global environmental campaigns targeting transboundary pollution and habitat destruction.","International","International conservation organization.","Greenpeace, FoE and WWF were at the forefront of many of these campaigns, aimed at influencing national governments and global institutions such as the UN."
"UK Green Party","Organization","Political platform that campaigned against nuclear power, the poll tax, and promoted environmental legislation; achieved notable electoral support in 1989.","United Kingdom","Green political party in the United Kingdom, later known as the Green Party of England and Wales.","Sara Parkin (b. 1946), co-secretary and spokesperson for the UK Green Party, was able to mobilise this discontent."
"Green Party of England and Wales","Organization","Continues the UK green political tradition, participating in elections and influencing environmental policy at national and local levels.","United Kingdom","Successor to the People Party/Ecology Party, formally established under this name in 1990.","the People Party, which changed its name to the Ecology Party in 1975 and later to the Green Party of England and Wales in 1990, held explicit anti‑nuclear stances but had little electoral impact."
"People Party","Organization","Early vehicle for anti‑nuclear and environmental advocacy in the UK before evolving into the modern green party.","United Kingdom","Early UK green political group that later became the Ecology Party and then the Green Party of England and Wales.","the People Party, which changed its name to the Ecology Party in 1975 and later to the Green Party of England and Wales in 1990, held explicit anti‑nuclear stances but had little electoral impact."
"Ecology Party","Organization","Carried forward anti‑nuclear and environmental positions during the 1970s‑80s before rebranding as the Green Party.","United Kingdom","Intermediate name of the UK green political movement between the People Party and the Green Party of England and Wales.","the People Party, which changed its name to the Ecology Party in 1975 and later to the Green Party of England and Wales in 1990, held explicit anti‑nuclear stances but had little electoral impact."
"East German alliance of parties","Organization","Provided the East German component of the unified German green party, contributing to its pan‑German political base.","Germany","A coalition of East German parties that merged with the West German Green Party in 1993 to form Bündnis 90/Die Grünen.","The most successful European environment-focused political party is Bündnis 90/Die Grünen, which grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"Sir Julian Huxley","Individual","Undertook a wildlife‑conservation trip to East Africa and wrote articles warning about habitat destruction and hunting, helping to raise early public awareness of biodiversity loss.","United Kingdom","British biologist and first Director General of UNESCO","In 1960, British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"UNESCO","Organization","Employed Sir Julian Huxley as its first Director General; served as an international platform linking scientific expertise to conservation advocacy.","International","United Nations Educational, Scientific and Cultural Organization","In 1960, British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"Max Nicholson","Individual","Mobilised scientists and PR experts to create an international conservation organisation that became WWF.","United Kingdom","Director General of Britain's Nature Conservancy (1904‑2003)","Responding to this, Max Nicholson (1904-2003), Director General of Britain's Nature Conservancy, gathered together a group of scientists and advertising and public relations experts, all committed to establishing an international organisation that became known as WWF."
"Britain's Nature Conservancy","Organization","Provided institutional backing and leadership (through Max Nicholson) for the founding of WWF.","United Kingdom","UK government agency responsible for nature conservation","Responding to this, Max Nicholson (1904-2003), Director General of Britain's Nature Conservancy, gathered together a group of scientists and advertising and public relations experts, all committed to establishing an international organisation that became known as WWF."
"World Wide Fund for Nature (WWF)","Organization","Developed modern fundraising strategies and launched a high‑profile British appeal that raised US$1.9 million for projects in Africa, Europe and India.","United Kingdom","International conservation charity founded in the early 1960s","In 1961, WWF launched its first British fundraising appeal with a special issue of the Daily Mirror newspaper."
"Daily Mirror","Organization","Published WWF’s first fundraising appeal, using emotive wildlife imagery to reach a broad audience and generate large donations.","United Kingdom","British tabloid newspaper","In 1961, WWF launched its first British fundraising appeal with a special issue of the Daily Mirror newspaper."
