Name,Definition,Significance,Domain,Supporting_Text
"Small is Beautiful","A philosophical stance advocating that smaller, decentralized, and human‑scale economic and technological solutions are more sustainable and humane.",,"","Small is Beautiful (E. F. Schumacher, 1973) sketched out green alternatives."
"Blueprint for Survival","A vision proposing systemic changes to protect the environment and ensure human survival, outlining alternative, sustainable pathways.",,"","'A Blueprint for Survival' (The Ecologist, 1972) sketched out green alternatives."
"Green alternatives","Alternative approaches to development and technology that prioritize ecological sustainability and minimize environmental harm.",,"","'A Blueprint for Survival' (The Ecologist, 1972) and Small is Beautiful (E. F. Schumacher, 1973) sketched out green alternatives."
"Environmental concern","Long‑standing ideas and worries about humanity’s relationship with nature, tracing back to ancient thinkers.",,"","although the concept of the environment is relatively new, ideas and concern about humanity's relationship with nature are centuries old."
"Environmental activity","The surge of actions, campaigns, and movements aimed at protecting the environment, which did not create entirely new ideas but amplified existing ones.",,"","the explosion of environmental activity did not represent the creation of an entirely new set of ideas."
"Environmentalism","A contemporary movement characterized by the establishment of new institutions, professional campaign groups, and governmental agencies aimed at addressing environmental issues such as pesticide use a...",,"","Finally, the history of contemporary environmentalism has been marked by the establishment of new institutions. Campaigns on issues such as pesticide use and nuclear testing led to the development of a new breed of professional campaign groups which have become the public face of environmentalism."
"Environmental movement","A social movement that emerged in the 1960s, mobilising public opinion and pressuring governments and businesses to act on environmental concerns, and that has grown increasingly diverse and complex o...",,"","Over the past fifty years there has been an unprecedented growth in public concern for the environment. The 1960s saw a surge in environmental activity driven by transformative social, cultural and political events. This resulted in the emergence of a new social movement that furthered the environme..."
"Environmental campaign groups","Professional, often international, organisations founded in the 1960s that address a broad set of environmental issues beyond traditional wildlife and wilderness protection.",,"","The new breed of international environmental campaign groups founded at this time took on a set of environmental issues that went beyond the narrower wildlife and wilderness protection interests of earlier groups."
"Moral entrepreneurship","The practice by a new generation of campaign groups of framing environmental issues as moral imperatives, thereby raising public awareness and shaping environmental debates.",,"","The moral entrepreneurship of this new generation of campaign groups increased public awareness of environmental issues and helped to define and shape a wide range of environmental debates."
"Community‑based offshoots of the environmental movement","Distinct, locally rooted groups that formed in the 1980s and 1990s as a response to globalization, representing a diversification of the broader environmental movement.",,"","the 1980s and 1990s saw the formation of distinct, community‑based offshoots of the environmental movement, in part as a response to globalisation."
"National property (as a landscape concept)","A framing of scenic landscapes as a collective right and interest of all people, emphasizing aesthetic, recreational, and moral claims to natural spaces.",,"","Groups were formed to protect landscapes for their aesthetic and recreational value and to preserve access to, and enjoyment of, scenic landscapes as a 'national property, in which every man has a right and interest who has an eye to perceive and a heart to enjoy'."
"Modern environmental movement","A new and distinctive social movement that emerged in the 1960s, linking social and environmental concerns such as war, nuclear testing and chemical pesticides, and giving rise to numerous campaign gr...",,"","This rebellious period in history provided the backdrop for the birth of the modern environmental movement. Individuals made links between social and environmental concerns, such as war, nuclear testing and chemical pesticides."
"Counterculture","A cultural phenomenon of the 1960s characterised by an increasingly widespread tendency to question established values and institutions, driven by a new generation of young people.",,"","In the USA, growing opposition to the nuclear bomb, the Vietnam War and the use of chemical herbicide defoliants known as Agent Orange coincided with the emergence of a counterculture and an increasingly widespread tendency to question established values and institutions."
"New Left","A political current in France during the 1960s that attempted to overthrow the government, representing a broader opposition to the state and industrial society.",,"","In France, the New Left attempted to overthrow the government."
"Green political parties","Newly formed political parties in Europe that contested elections while also acting as campaign groups for environmental issues.",,"","In Europe, new green political parties were formed that contested elections but also acted as campaign groups."
"Social movement (environmental)","A loosely connected, large, young, educated and idealistic constituency concerned with peace, civil rights and global environmental destruction, emerging in the 1960s‑1970s.",,"","This loosely connected movement represented a large, young, educated and idealistic constituency, equally concerned about issues of peace, civil rights and global environmental destruction."
"environmental movement","A collective effort, especially in the United States, that uses lawsuits and legislative battles to protect the environment and influence policy.",,"","Over the next forty years, law suits and legislative battles were to become a key feature of the US environmental movement."
"throwaway society","A societal condition characterized by wastefulness and the prevalence of disposable, non‑returnable products.",,"","FoE UK launched its first campaign against non-returnable bottles, linked to a wider message about the wastefulness of a throwaway society."
"green politics","A political orientation that explicitly links social and environmental agendas, often leading to the formation of new political parties focused on ecological issues.",,"","Green politics was becoming more explicit as campaigners linked social and environmental agendas to create new political parties across Europe."
"environmental politician","A self‑identified political actor whose primary focus is on environmental issues and advocacy.",,"","Tom Burke, Director of FoE UK (1975-79), described himself as an 'environmental politician'."
"green parties","Political parties whose platforms prioritize ecological sustainability, environmental protection, and related social policies.",,"","Sweden's Miljöpartiet de grõna was among the first green parties to secure national electoral success in Europe."
"counter power","The role of European campaign groups in acting as an alternative or oppositional force to mainstream political parties.",,"","During the 1970s and 1980s, European campaign groups began to establish themselves as a counter power to the main political parties."
"social and environmental agendas","The combined set of policy goals that address both societal welfare and ecological sustainability.",,"","Green politics was becoming more explicit as campaigners linked social and environmental agendas to create new political parties across Europe."
"grassroots democracy","A commitment to decision‑making power residing with local communities and bottom‑up participation in political processes.",,"","most were committed to grassroots democracy, non-violence and social justice."
"non-violence","A principle of rejecting the use of force in political activism and social change.",,"","most were committed to grassroots democracy, non-violence and social justice."
"social justice","A normative goal of achieving equitable distribution of resources, rights and opportunities within society.",,"","most were committed to grassroots democracy, non-violence and social justice."
"traditional models of economic growth","Conventional growth‑oriented economic paradigms that prioritize GDP expansion over ecological and social considerations.",,"","challenge traditional models of economic growth"
"reduced‑hour working week","An advocacy for shortening the standard weekly work hours as a means to improve work‑life balance and reduce over‑production.",,"","called for a reduced-hour working week"
"anti‑nuclear movement","A social movement opposed to the development and use of nuclear power and related technologies.",,"","In 1980s West Germany, the anti-nuclear movement was almost identical to the environmental movement"
"environmental movement","A broad social movement focused on protecting the natural environment and addressing ecological degradation.",,"","In 1980s West Germany, the anti-nuclear movement was almost identical to the environmental movement"
"transboundary pollution","Pollution that crosses national borders, affecting multiple countries and requiring coordinated international responses.",,"","reflected an understanding of transboundary pollution"
"habitat destruction","The loss or degradation of natural habitats, posing a threat to wildlife and biodiversity.",,"","growing recognition of habitat destruction and the threat it posed to wildlife"
"global environmental campaigns","High‑profile advocacy actions organized by environmental organisations that aim to influence policy and public opinion on a worldwide scale.",,"","By the 1970s, a new breed of environmental organisation had emerged that led high-profile environmental campaigns aimed at a global impact."
"green political parties","Political parties whose platforms prioritize ecological sustainability, environmental protection, and often integrate social‑justice and participatory‑democracy values.",,"","Green political parties established themselves throughout Europe"
"Fundraising strategies","New methods developed to raise funds for environmental action, introduced by WWF as part of its modern campaign approach.",,"","What made WWF a thoroughly modern campaign group was its focus on the need to raise funds for environmental action, and as a consequence it developed new fundraising strategies."
"Emotional appeals","A communication tactic that uses emotionally charged images of attractive animals to engage a broad public audience and encourage donations.",,"","By using mainly emotional appeals focusing on attractive animals, WWF found a way of engaging a broad section of the public and succeeded in raising large sums of money."
"Quaker philosophy of bearing witness","A philosophical stance rooted in Quaker tradition that emphasizes passive resistance and the presence of campaigners at sites of environmental problems as a form of moral testimony.",,"","The Quaker philosophy of bearing witness, demonstrating passive resistance by placing campaigners at the scene of environmental problems has been fundamental to Greenpeace campaigns ever since."
"Direct action approach","A tactic of confronting environmental issues through immediate, often confrontational, physical interventions, such as blockades or protests, rather than solely through lobbying or advocacy.",,"","Governments did not always tolerate Greenpeace's direct action approach, especially with regard to the issues of whaling and nuclear tests."
"Environmental justice","A framing of environmental issues that links pollution and hazardous waste siting to racial discrimination, emphasizing the need to address social, economic and environmental inequities, especially fo...",,"","The environmental justice movement emerged against a backdrop of wider public concern over environmental pollution in the USA, but was framed by the issue of racial discrimination."
"Environmental racism","The pattern whereby race is the strongest predictor of the siting of hazardous waste facilities, leading to disproportionate environmental burdens on poor or Black communities.",,"","In 1987, the United Church of Christ's Commission for Racial Justice published *Toxic Wastes and Race*. The study found that race was the strongest variable in predicting the siting of waste facilities. This galvanised the movement nationally to oppose environmental racism."
"Anti‑roads movement","A UK‑based grassroots movement that arose in response to planning decisions favoring private or governmental interests over community interests, drawing on countercultural roots and direct‑action tact...",,"","The UK anti‑roads movement had strong countercultural roots and drew on a long tradition of direct action in the country. Many participants were influenced by tactics used by Greenpeace, Earth First! and the peace movement, including the women's peace camps at the Royal Air Force Base at Greenham Co..."
"Global countercultural movement (1990s)","A worldwide coalition of established and grassroots groups that linked social, economic and environmental justice concerns to global economic and trade agreements, emerging from the 1980s‑1990s grassr...",,"","Both the US environmental justice movement and the UK anti‑roads movement shared a lack of confidence in established environmental groups to address the issues that were important to them. This led to new and distinctive coalitions and campaign tactics that contributed to the development of the 1990..."
"Environmental justice","A movement that has expanded from an anti‑toxics focus to address broader issues such as public health, transport, land use, the link between income and pollution exposure, and the ability of local co...",,"","Nowadays the US environment justice movement has moved beyond an anti-toxics focus to include wider issues, including public health, transport and land use. ... The relationship between income (rather than race) and pollution exposure is a real issue in many countries, as is the ability of local com..."
"Anti‑roads movement","A single‑issue campaign that emerged in the early 1990s, supported by a wide range of groups inside and outside the environmental movement, aiming to oppose large‑scale road‑building programmes throug...",,"","The UK anti‑roads movement is an example of a single‑issue campaign that was supported by a wide range of groups from inside and outside the environmental movement. It emerged in the early 1990s with renewed public interest in the environment. ... A feature of many of the UK road protests was an all..."
"Direct action","A non‑violent tactic employed by activist groups that involves physically occupying, locking onto trees, digging tunnels, and otherwise disrupting target activities to raise the financial and reputati...",,"","By occupying and locking themselves to trees, digging tunnels and doing everything they could to disrupt road‑building operations, they developed a new public image of the modern environmentalist. They also showed that campaign groups with limited resources and few links to the political establishme..."
"Buy Nothing Day","An anti‑consumerist day first launched in the USA in 1992 that encapsulated the ideals of the emerging countercultural movement.",,"","The anti‑consumerist Buy Nothing Day, first launched in the USA in 1992, encapsulated the ideals of this countercultural movement."
"global counterculture","A worldwide anti‑establishment movement of the 1990s that incorporated environmental issues and was distrustful of global brands and multinational corporations.",,"","In the 1990s, environmental issues once again become widely incorporated in a growing anti‑establishment movement that was distrustful of global brands and multinational corporations."
"anti‑globalisation movement","A loosely coordinated, broad‑based movement that linked social, economic and environmental issues and organised large‑scale street protests against institutions such as the IMF, World Bank and WTO.",,"","The anti‑globalisation protests of the late 1990s had distinctive organisational features. They were loosely coordinated, involved a broad range of participants, and linked together a wide range of social, economic and environmental issues."
"independent media centre","A self‑organised media platform that allows anyone to upload news and reports from protest events, used notably during the 1989 WTO Seattle protests.",,"","When activists established an independent media centre for anyone to upload news and reports from the 1989 WTO Seattle protests, the website received over a million hits over a couple of days."
"anti‑roads movement","A social movement opposed to road building projects, whose veterans participated in the Global Street Party during the 24th G8 summit in Birmingham, UK.",,"","In 1998, veterans of the anti‑roads movement and Reclaim the Streets participated in the Global Street Party that coincided with the twenty‑fourth G8 summit in Birmingham in the UK."
"Reclaim the Streets","A grassroots activist network that, together with veterans of the anti‑roads movement, took part in the Global Street Party during the 24th G8 summit.",,"","In 1998, veterans of the anti‑roads movement and Reclaim the Streets participated in the Global Street Party that coincided with the twenty‑fourth G8 summit in Birmingham in the UK."
"Internet activism","Activism that can be undertaken from the comfort of home, is cheap, easy and effective, and involves mobilising online supporters worldwide to create and share campaign material.",,"","Internet activism can be undertaken from the comfort of home, and is cheap, easy and effective. In 2006, Greenpeace launched the Green My Apple campaign ... it now mobilises internet activists across the globe to support its campaigns."
"Environmental movement","A collective of professional campaign groups and broader public awareness focused on environmental issues, characterized by high awareness but limited mass commitment, internal disagreements over visi...",,"","The professional campaign groups that are closely associated with the environmental movement provide some coordination, but also compete for attention, funding and support. There is high public awareness of environmental issues, but less mass commitment to taking action and sustained campaigning."
"Sustainable development","A development paradigm promoted by environmental groups that seeks to meet present needs without compromising the ability of future generations to meet theirs, pursued through partnerships with corpor...",,"","Forum for the Future (est. 1996) promotes its work on sustainable development through partnerships with organisations such as BT, Tesco and Unilever."
"Partnership approach","A strategic model in which environmental organisations collaborate with governments and corporations rather than relying on individual membership recruitment, aiming to embed conservation into busines...",,"","Over the past thirty years, some environmental groups have shifted their focus from recruiting members of the public to establishing partnerships with governments and corporations... Groups tackling a wide range of environmental issues now take this approach and are not supported by individual membe..."
"Counter‑movement","An organised opposition to environmental causes that takes many forms, often industry‑led, and can garner popular support.",,"","In several countries, and in the USA in particular, countermovements have been established to oppose environmental causes. The counter‑movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition."
"Wise Use Movement","A countermovement, typically industry‑led, that opposes environmental regulation and promotes the use of natural resources for economic development.",,"","The counter‑movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition."
"Global Climate Coalition","An industry‑led coalition that coordinates opposition to climate‑related environmental policies and regulations.",,"","The counter‑movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition."
"Low‑carbon economy","An economic system aimed at reducing carbon emissions, characterised by a transition away from fossil‑fuel‑intensive activities toward cleaner energy and production methods.",,"","The Act aims to enable the UK to make the transition to a low‑carbon economy."
"Legally binding targets","Enforceable emission‑reduction goals set by law, requiring specific percentages of greenhouse‑gas cuts by a defined deadline.",,"","the 2008 Climate Change Act, which set the world's first legally binding targets to reduce six greenhouse gases by 80 per cent by 2050 compared with a 1990 baseline."
"Forest carbon projects","Conservation initiatives that generate measurable and verifiable carbon‑emission reductions through forest management, while also delivering biodiversity and community benefits.",,"","the Noel Kempff project ... serves as an example of how well‑designed forest carbon projects can result in real, scientifically measurable and verifiable emissions reductions with important benefits for biodiversity and local communities."
"Carbon scam","A critical label applied to a forest carbon initiative that is alleged to falsely claim scientifically quantifiable carbon‑emission reductions and sustainable community benefits.",,"","Greenpeace published the findings of its investigation ... It described the project as a 'carbon scam', contradicted claims that it produced scientifically quantifiable carbon emissions reductions, and called into question whether it had provided sustainable benefits and alternative livelihoods to l..."
"The Big Ask campaign","A climate‑focused campaign launched to demand strong and fair climate laws that introduce binding annual cuts in greenhouse‑gas emissions across the UK and later across Europe.",,"","Thom Yorke (b. 1968), lead singer of the music group Radiohead, launched The Big Ask campaign on 25 May 2005... A total of eighteen European countries became part of The Big Ask campaign, demanding strong and fair climate laws which will introduce binding annual cuts in greenhouse gas emissions."
"binding annual cuts in greenhouse gas emissions","A policy principle calling for legally required yearly reductions (e.g., 3 % per year) in carbon dioxide emissions, making the cuts enforceable and measurable.",,"","On the same day, a Parliamentary petition (Early Day Motion 178) opened calling for new legislation requiring annual cuts in carbon dioxide emissions of 3 per cent... demanding strong and fair climate laws which will introduce binding annual cuts in greenhouse gas emissions."
"cap-and-trade system","A market‑based mechanism that sets an overall cap on emissions and requires companies in the energy and transport sectors to obtain emission allowances in order to emit greenhouse gases.",,"","The Bill is based on a 'cap-and-trade' system - a market-based mechanism that sets a cap on overall emissions and then requires companies in the energy and transport sectors to obtain emission allowances to emit greenhouse gases."
"Stop Climate Chaos coalition","A coalition of mainly environmental and international development NGOs that coordinated campaigns such as the I Count campaign and organized climate‑change rallies to urge governments to introduce cli...",,"","FoE also joined a climate change coalition of mainly environmental and international development NGOs. The Stop Climate Chaos coalition ran the I Count campaign and organised a climate change rally in London to urge the government to introduce a climate change bill."
"Transition Towns movement","A community‑led response to climate change and peak oil that raises awareness of green living, with over 250 transition towns and cities spanning twelve countries.",,"","In the UK, the Transition Towns movement has provided a community‑led response to climate change and peak oil. There are over 250 transition towns and cities, spanning twelve countries, working to raise awareness of green living."
"Interfaith Power and Light network","A religious‑based network that provides a faith‑oriented response to climate change.",,"","In the USA, the Interfaith Power and Light network has provided a religious response to climate change."
"MoveOn network","A progressive network with approximately 3 million members in the USA that has consistently made energy and environmental issues a campaign priority since 2003.",,"","The progressive MoveOn network has approximately 3 million members across the USA, and since 2003 has consistently made energy and environmental issues a campaign priority."
"Avaaz","A web‑based campaign community that uses the MoveOn model and claims 3.3 million members across 192 countries, campaigning on a wide range of social, economic and environmental issues, including clima...",,"","Avaaz, a web‑based campaign community, uses the model pioneered by MoveOn. It claims 3.3 million members across 192 countries, and campaigns on a wide range of social, economic and environmental issues, including climate change."
"350 campaign","A global climate‑change campaign that sought to limit atmospheric carbon dioxide to 350 parts per million, organising a worldwide day of action with thousands of demonstrations.",,"","In 2009, the campaign group 350 organised the single largest international campaign on climate change. The campaign focused on achieving 350 parts per million of carbon dioxide, as levels above this figure would accelerate climate change. Through the internet and other media channels, the 350 campai..."
"Environmental movement","A contemporary social movement that emerged from early nature‑conservation efforts, evolving through post‑war public awareness of pollution and anti‑consumerism, and characterised by campaign slogans,...",,"","This chapter has examined the emergence of contemporary environmentalism as a new social movement from its early beginnings in nature conservation to the rise of a global anti‑consumerism counter‑culture... The ability of the environmental movement to bring about change through targeted campaigns ha..."
"Anti‑consumerism counter‑culture","A global cultural trend that opposes consumerist values and has been linked to the rise of contemporary environmentalism.",,"","This chapter has examined the emergence of contemporary environmentalism as a new social movement from its early beginnings in nature conservation to the rise of a global anti‑consumerism counter‑culture."
"Issue‑attention cycle","A pattern whereby environmental problems gain public and media prominence after scientific discovery, receive a burst of attention and action, then fade as interest wanes, often leaving the issue unre...",,"","The rise and fall of public interest in environmental issues has been described as an 'issue‑attention cycle'. Typically, environmental problems come to prominence due to scientific discovery, and campaign groups demand rapid action, but the problem is costly and difficult to address. Over time, the..."
"Green living","A lifestyle approach that emphasizes environmentally friendly practices, promoted by transition towns to raise public awareness.",,"","There are over 250 transition towns and cities, spanning twelve countries, working to raise awareness of green living."
"Green coalition","A collaborative alliance of environmental groups and the wider movement that seeks to secure a worldwide call for action, providing power and legitimacy, introducing new ideas and tactics, and empower...",,"","environmental groups and the wider movement will have to work together in a 'green coalition' to secure a worldwide call for action. A new global generation of grassroots groups will be central to providing the power and legitimacy this green coalition needs."
"Global environmental governance","The modern era of coordinated international environmental policy and decision‑making facilitated by the United Nations through conferences and agreements that shape the global environmental agenda.",,"","This provided a catalyst for the introduction of multilateral environmental agreements (MEAs) and initiated the modern era of global environmental governance."
"Multilateral Environmental Agreements (MEAs)","International treaties and accords introduced after the 1972 UN Conference on the Human Environment to collectively address environmental problems.",,"","This provided a catalyst for the introduction of multilateral environmental agreements (MEAs) and initiated the modern era of global environmental governance."
"Resource security and sovereignty","The dual concern of ensuring reliable access to natural resources (resource security) while protecting nations' rights to control and manage those resources (resource sovereignty).",,"","developed world economies focused on resource security and scarcity while newly emerging countries sought to protect resource sovereignty."
"Permanent sovereignty over natural resources","A UN declaration affirming that developing nations have the right to control, exploit, and market their own natural resources.",,"","In 1962 developing nations, led by Chile, secured a UN Declaration on Permanent Sovereignty over Natural Resources."
"G77/China grouping","A coalition of developing countries formally established in the late 1960s to harmonise negotiating priorities and link global environmental concerns with development agendas.",,"","By the late 1960s, a G77/China grouping was formally established to harmonise the negotiating priorities of developing countries."
"Human environment","The overall quality of the environment as it directly affects human physical, mental and social well‑being, dignity and basic human rights.",,"","the General Assembly adopted resolution 2398 (XXIII) convening the UNCHE and noting the '[...] continuing and accelerating impairment of the quality of the human environment' and its 'consequent effects on the condition of man, his physical, mental and social well‑being, his dignity and his enjoymen..."
"Environmental governance","The system of international cooperation, policies, and institutions that guide collective action to address environmental problems.",,"","The conference generated a degree of enthusiasm for environmental action that has had a lasting influence on global environmental governance."
"International environmental law‑making","The process of creating binding or non‑binding legal instruments at the global level to regulate environmental protection and resource use.",,"","UNCHE also led to the establishment of the UN Environment Programme (UNEP) and provided momentum for an intensive period of international environmental law‑making."
"Environment‑development linkage","The conceptual connection that links environmental protection priorities with development goals, emphasizing that environmental issues are relevant to economic and social development.",,"","The outcome of these discussions was The Founex Report on Development and Environment (1971), which clearly set out the link between environment and development priorities and helped to convince developing countries that environmental issues were relevant to their situation."
"environmental ethic","An ethic intended to be instilled in specialised UN agencies through information, persuasion and direct funding, guiding them toward environmentally responsible actions.",,"","the USA proposing a smaller unit within the UN system that would instil an environmental ethic in other specialised agencies via information, persuasion and direct funding."
"global interdependence","The idea that environmental and development agendas are mutually linked worldwide, emphasizing that challenges cannot be solved solely at national or regional levels.",,"","high‑profile international reports ... reinforced the idea of global interdependence."
"multilateral engagement","Cooperation among multiple nations on a wide range of international issues such as security, development, the monetary system, environmental protection, energy, and the control of space and ocean reso...",,"","The Commission made a case for multilateral engagement on a wide range of international issues."
"global economic order","The worldwide system of economic relations and structures that the 1980 North‑South report sought to restructure in order to align developmental and environmental interests.",,"","The 1980 North‑South report outlined a comprehensive strategy for restructuring the global economic order and reinforced the extent of mutual interests on developmental and environmental issues."
"North‑South paradigm","A conceptual framework describing the relationship and cooperation between developed (the North) and developing (the South) countries, as reflected in the Brandt Commission’s reports.",,"","The membership of the Brandt Commission strongly represented the developing world... It published two reports, North‑South: A Program for Survival (1980) and Common Crisis North‑South: Cooperation for World Recovery (1983)."
